id,sub_category,branch,name,description,module_type,exclusive_ids,hybrids,timePeriod,module_content_type,module_type_index,image_url,price,bonus,penalty,specialFunctions,blockIds,enableIds,comboBonusIds,authorshipPercent
139,Balance of Federal/ National Regional Power,Civil Core Articles,Balance of Power: Federal - Regional Combination,"Divides authority for resolving civil matters with citizens between a federal authority and regional authority, carving out different areas of jurisdiction for each, with differences between regions allowing for minor variations in design and application of the law, while leaving matters of basic civil rights to federal resolution.",Exclusive,"138,139,140",,Early Modern,Civil,3,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/56.png,10,"Medium Authority,Medium law and order,High Science,Medium Independence,Bonus for Size > 1M sq Km","High Authority
",,,,,6
140,Balance of Federal/ National Regional Power,Civil Core Articles,Balance of Power: Regional Autonomy,"Frames a government with a weak central authority whose main focus is on international diplomacy and national defense, without much control or influence over the rule of law on the regional and local level. Presupposes fiercely independent regions bound together by loose coalition of neighbors with differing cultural needs.",Exclusive,"138,139,140",,Futurist,Civil,3,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/future/12.png,20,"Low Authority,Low Collectivism,Low Independence,High Liberty,Bonus for Size > 1M sq Km","High Collectivism,High Independence",,,,,5
141,Civil Rights,Civil Amendments,Horizontal Effect of Constitutional Rights  ,"Indicates that, insofar as appropriate, constitutional rights are applicable to the interactions of individuals and are thus binding for individuals. Without such a clause constitutional rights are binding only for the state and apply only where there is state action.",Simple,,,Futurist,Civil,3,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/future/13.png,10,"High Collectivism,High Progressivism",High Liberty,,,,,3
142,Due Process,Civil Amendments,Search & Seizure/ Probable Cause,"Frames the right of the individual not to be searched without a warrant or other legal due process around the concept of ""Probable Cause"". Meant to protect the citizen from unnecessary harassment by law enforcement.",Simple,,,Early Modern,Civil,3,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/57.png,5,"High Privacy,High Liberty,High Progressivism","High Authority,High law and order",,,,,5
143,Civil Rights,Civil Amendments,Right to Equal Treatment Under the Law,"Confers on the citizen the right of civil equality, which can be enforced against any discrimination based on class, race, gender, orientation or ethnicity by the government or other civil individual or cultural actor.",Simple,,,Modern/Contemporary,Civil,3,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/modern/44.png,5,"High Collectivism,High Progressivism,High Liberty","Low law and order
",,,,,5
144,Civil Rights,Civil Amendments,Right to Security,"Frames the government's responsibility for the protection of its citizens from outside attack, lawlessness and mayhem. Underpins support for military and police force, but also a fair and just rule of law.",Simple,,,Early Modern,Civil,3,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/58.png,5,"High law and order,High Collectivism,High Independence",High Tradition,,,,,5
145,Civil Rights,Civil Amendments,Right to Bear Arms,"Confers on the citizen the right to protect their own security, and the autonomy of their civil liberties, through the use of lethal force; the balance of self-defense and libertarian detente will vary based on the society governed.",Simple,,,Early Modern,Civil,3,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/59.png,10,"High Tradition,Medium law and order,Low Progressivism","High Authority,High Collectivism",,,,,3
146,Civil Rights,Civil Amendments,Right to Privacy,"Confers on the citizen the reasonable expectation that their personal, civil, business and governmental records can only be made public with their consent, and that others may not profit off this information without their consent; easily enforceable 100 years ago, a difficult moving target in the digital age.",Simple,,,Modern/Contemporary,Civil,3,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/modern/45.png,10,"High Privacy,High Liberty,High Progressivism","High Authority,High Independence",,,,,5
147,Civil Rights,Civil Amendments,Freedom of expression,"Everyone has the right to freely express views, arguments and emotions of any kind, as long as with such expression no other person is denied rightful liberties by that.",Simple,,,Modern/Contemporary,Civil,3,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/modern/46.png,5,"High Progressivism,High Liberty,High Collectivism",High Privacy,,,,,3
148,Civil Rights,Civil Amendments,Freedom of assembly and association,There can be no restrictions on the right the public has to assemble and form associations.,Simple,,,Modern/Contemporary,Civil,3,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/modern/47.png,5,"High Progressivism, HIgh Liberty","High law and order, High Collectivism",,,,,3
149,Civil Rights,Civil Amendments,Freedom of religion,Everyone has the right to pursue the relgion of his/her choice or no religion.,Simple,,,Modern/Contemporary,Civil,3,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/modern/48.png,5,"Low Science, High Liberty, High Progressivism","High Tradition,  High Collectivism",,,,,3
150,Civil Rights,Civil Amendments,Right to private property,Everyone has the right to private property.,Simple,,,Early Modern,Civil,3,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/25.png,5,"High Liberty, High law and order",High Collectivism,,,,,5
151,Civil Rights,Civil Amendments,Right to life,Every individual has a right to continue life or end life in accordance with his/her own wishes. Decisions can only be made by others on life or death issues given prior power of attorney,Simple,,,Futurist,Civil,3,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/future/14.png,5,"High Liberty, High Progressivism","High Tradition
",,,,,2
152,Civil Rights,Civil Amendments,Rights of Marriage,Every individual has the right to choose whom to marry and whether to marry.,Simple,,,Futurist,Civil,3,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/future/15.png,5,"High Liberty, High Progressivism","High Tradition, Low Science, Low Progressivisim",,,,,3
153,Civil Rights,Civil Amendments,Rights of Children,"Excluded from the electorate by age, this frames rights for children in the legal process, including most of the following: education, legal standing and due process, safety from bodily harm, adequate medical care.",Simple,,,Modern/Contemporary,Civil,3,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/modern/49.png,10,"High Collectivism,High law and order,High Progressivism",Medium Tradition,,,,,5
154,Civil Rights,Civil Amendments,Ethical Treatment of Animals/ Endangered Species Protections,"Whether viewed as a natural resource or sentient co-citizens without a voice, this frames rights for the animal populations under the jurisdiction of the government.",Simple,,,Futurist,Civil,3,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/future/16.png,20,"High Collectivism,High Progressivism","High Science,High Privacy",,,,,3
155,Civil Rights,Civil Amendments,Public access to meetings,This article ensures that the public has the right to know about what is discussed in Parliament as well as at the meetings of Parliamentary committees.,Simple,,,Modern/Contemporary,Civil,3,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/modern/50.png,5,"High Progressivism,High Liberty,High Collectivism",High Tradition,,,,,3
156,Civil Rights,Civil Amendments,Public dismissal of legislature,By this article the public has the right to dismiss the legislature.,Simple,,,Futurist,Civil,3,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/future/17.png,20,"High Progressivism, High Collectivism, ","High Tradition, High law and order",,,,,3
157,Due Process,Civil Amendments,Right to an Attorney,"Grants the citizen the right to legal representation, whether they can afford it or not, as a matter of due process and civil standing.",Simple,,,Early Modern,Civil,3,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/16.png,5,"High Liberty,High Tradition,High law and order","Low law and order
",,,,,5
158,Due Process,Civil Amendments,Prohibition of Retroactive Punishment/ Double Indemnity,Frames a legal system that cannot try a person for the crimes of their ancestors or try one person for the same crime twice.,Simple,,,Early Modern,Civil,3,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/3.png,5,"High Liberty,High Tradition,High law and order",High Authority,,,,,3
159,Due Process,Civil Amendments,Prohibiton of Cruel and Unusual Punishment,"Frames a legal system that cannot torture, humiliate, or dehumanize prisoners. Also includes general prohibitions against using prisoners for slave labor.",Simple,,,Early Modern,Civil,3,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/13.png,10,"High Progressivism, High Liberty","Low Liberty, High law and order, High Tradition",,,,,3
160,Civil Rights,Civil Amendments,Right of Restorative Justice,"Conveys on citizens, whether the perpetrator or victim of a crime, the right of access to a judicial system that allows them to confront the consequences of the crime, attempt to ameliorate the damage done to all parties by that crime, and as much as possible restore the social order that existed before the crime was committed.",Simple,,,Futurist,Civil,3,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/future/18.png,20,"High Progressivism,High Liberty",High Privacy,,,,,3
161,Civil Rights,Civil Amendments,Right to Die/ Right of Human Dignity,Frames the right of every citizen in failing health to negotiate with their medical care a comfortable way to end their lives if they so choose.,Simple,,,Modern/Contemporary,Civil,3,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/modern/51.png,5,"High Collectivism,High Progressivism,High Science,High Privacy","High Tradition,Low Liberty",,,,,2
162,Civil Rights,Civil Amendments,Right to Proportional Share of National Natural Resource Wealth,"Confers on citizens the right to share in any wealth, profit or dividends generated by mineral, agricultural, forestry or animal resources, to be shared through some proportional scheme, on a monthly, quarterly or annual basis.",Simple,,,Futurist,Civil,3,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/future/19.png,20,"High Progressivism,High Collectivism,High Natural Resource Wealth,","High Authority
",,,,,5
163,Civil Rights,Civil Amendments,Right to Education,Confers on citizens a right to enjoy education to the extent that can be provided by the society. Education is not limited because of financial or social situation.,Simple,,,Modern/Contemporary,Civil,3,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/modern/52.png,10,"High Progressivism, High Science",High Liberty,,,,,3
164,Civil Rights,Civil Amendments,Right to Food/Housing,"Confers on citizens the right to have access to some basic goods necessary to lead a dignified human life.  Adequate housing and food can be seen as such goods, and it is acknowledged that no modern society is so weak that it cannot ensure that everyone enjoys them.",Simple,,,Futurist,Civil,3,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/future/21.png,20,"High Collectivism, High Progressivism ","Population > 5M, Low Progressivism, Low Collectivism",,,,,2
165,Civil Rights,Civil Amendments,Right to Employment,"The right to employment can be seen as freedom to choose occupation, a right to be employed or the right to just and favorable conditions of work. By choosing this option you are saying that some such rights should be in the constitution without specifying at this point.",Simple,,,Futurist,Civil,3,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/future/22.png,20,"High Collectivism, High Progressivism","Population > 5M, Low Progressivism, Low Collectivism",,,,,2
166,Civil Rights,Civil Amendments,Right to Health Care,Confers on citizens the right to enjoy adequate health care. The state has an obligation both to ensure that adequate health care is available and that no citizens are excluded from using it.,Simple,,,Modern/Contemporary,Civil,3,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/modern/53.png,20,"High Collectivism, High Progressivism","Population > 5M, Low Progressivism, Low Collectivism",,,,,2
167,Civil Rights,Civil Amendments,Right to a healthy environment,Every individual has the right to a healthy and clean environment to the extent that is technically possible.,Simple,,,Futurist,Civil,3,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/future/23.png,20,"High Science, High Collectivism, High Progressivism","High Liberty, Low Collectivisim, Population < 5M",,,,,2
168,Civil Rights,Civil Amendments,Group rights,Groups with some special cultural or social characteristics may be given rights that the ordnary person does not have. Such rights may be connected to marraiage or family life. Such rights can never trump incividual rights.,Simple,,,Futurist,Civil,3,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/future/24.png,5,"High Progressive, High Collectivism","High Tradition, High Liberty",,,,,3
169,Civil Rights,Civil Amendments,Right to economic and social development,Every individual has the right to enjoy the full benefits of society's economic and social goods.,Simple,,,Futurist,Civil,3,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/future/25.png,10,"High Progressive, High Collectivism","High Tradition, High Liberty",,,,,3
170,Civil Rights,Civil Amendments,Right to communicate and communication rights,No individual can be deprived of the right to communication except as is temporarily necessare for e.g. police investigation purposes.,Simple,,,Futurist,Civil,3,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/future/26.png,5,"High Progressive, High Liberty","High Authority, High law and order",,,,,3
171,Civil Rights,Civil Amendments,Rights to intergenerational equity and sustainability,"The state must ensure that the next generation will have access to the same or better goods, services and resources as the current generation.  No resources may be willingly depleted. Policies must be accompanied by assurances that they will not lead to unsustainable exploitation of natural resources.",Simple,,,Futurist,Civil,3,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/future/30.png,5,"High Progressivism, High Collectivism","High Liberty, High Tradition",,,,,2
172,Civil Rights,Civil Amendments,Rights of animals,Ensures that animals are treated in accordance with care for their well being even in cases where human interests might be different. Such rights usually would require the appointment of an ombudsperson to monitor treatment of animals.,Simple,,,Futurist,Civil,3,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/future/8.png,5,"High Progressivism, High Science","High Tradition, High Liberty, Low Science",,,,,2
173,Civil Rights,Civil Amendments,Rights (inherent value) of nature,"By assigning rights to nature it is acknowledged that anthropocentric views may in some situations be considered weaker than ecocentric. In order to preserve nature and prevent the destruction of natural habitat assigning rights to nature and appointing ombudspersons to monitor that such rights are respected, may be the strongest move.",Simple,,,Futurist,Civil,3,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/future/2.png,5,"High Progressivism, High Collectivism, High Science","High Tradition, High Liberty",,,,,2
174,Civil Rights,Civil Amendments,Directive Principles,"Some of the rights and other provisions of the Constituiton are viewed as non-justiciable, cannot be enforced by a court, but are intended to serve as guiding pillars of other institutions of government.",Simple,,,Futurist,Civil,3,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/future/12.png,5,"High Progressivism, High Collectivism","High law and order, High Tradition",,,,,2
